         170 function calls in 0.076 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.076    0.076 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\runners.py:160(run)
        1    0.000    0.000    0.075    0.075 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\runners.py:86(run)
        1    0.000    0.000    0.075    0.075 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:617(run_until_complete)
        1    0.000    0.000    0.075    0.075 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_events.py:317(run_forever)
        1    0.000    0.000    0.075    0.075 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:593(run_forever)
        1    0.000    0.000    0.075    0.075 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:1845(_run_once)
        1    0.000    0.000    0.075    0.075 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:78(_run)
        1    0.000    0.000    0.075    0.075 {method 'run' of '_contextvars.Context' objects}
        1    0.000    0.000    0.075    0.075 C:\Users\Bryan\Source\Repos\AgentWorkflowService\main.py:283(run_app)
        1    0.000    0.000    0.075    0.075 C:\Users\Bryan\Source\Repos\AgentWorkflowService\profiler.py:73(wrapper)
        1    0.000    0.000    0.075    0.075 C:\Users\Bryan\Source\Repos\AgentWorkflowService\profiler.py:27(start_profiling)
        1    0.075    0.075    0.075    0.075 {method 'enable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\runners.py:58(__enter__)
        2    0.000    0.000    0.001    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\runners.py:131(_lazy_init)
        1    0.000    0.000    0.001    0.001 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:804(new_event_loop)
        1    0.000    0.000    0.001    0.001 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:689(new_event_loop)
        1    0.000    0.000    0.001    0.001 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_events.py:312(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\proactor_events.py:631(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\proactor_events.py:782(_make_self_pipe)
        1    0.000    0.000    0.001    0.001 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\socket.py:616(socketpair)
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\socket.py:220(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\socket.py:287(accept)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:389(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:429(create_task)
        2    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:758(get_event_loop_policy)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:750(_init_event_loop_policy)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\signal.py:60(getsignal)
        4    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\enum.py:686(__call__)
        1    0.000    0.000    0.000    0.000 {method 'listen' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\signal.py:24(_int_to_enum)
        2    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:751(call_soon)
        4    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\enum.py:1093(__new__)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_events.py:442(select)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\socket.py:515(family)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_events.py:418(__init__)
        1    0.000    0.000    0.000    0.000 {method '_accept' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\tasks.py:654(ensure_future)
        2    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:780(_call_soon)
        2    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\socket.py:99(_intenum_converter)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\signal.py:54(signal)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\coroutines.py:11(_is_debug_mode)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\socket.py:499(close)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1467(debug)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:799(set_event_loop)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\_collections_abc.py:771(get)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\tasks.py:662(_ensure_future)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\socket.py:495(_real_close)
        4    0.000    0.000    0.000    0.000 {built-in method _asyncio._get_running_loop}
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1734(isEnabledFor)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_events.py:804(_poll)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\os.py:674(__getitem__)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x000001D5F78B7240}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:1943(set_debug)
        1    0.000    0.000    0.000    0.000 {built-in method time.get_clock_info}
        1    0.000    0.000    0.000    0.000 {built-in method _overlapped.CreateIoCompletionPort}
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:663(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\_weakrefset.py:37(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:31(__init__)
        1    0.000    0.000    0.000    0.000 {method 'getsockname' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _signal.set_wakeup_fd}
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\runners.py:49(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\coroutines.py:34(iscoroutine)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\os.py:748(encodekey)
        4    0.000    0.000    0.000    0.000 {method 'setblocking' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:586(_check_running)
        2    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\signal.py:34(_enum_to_int)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\socket.py:521(type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        2    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\threading.py:1453(current_thread)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\events.py:682(set_event_loop)
        2    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_futures.py:14(isfuture)
        1    0.000    0.000    0.000    0.000 {built-in method sys.set_asyncgen_hooks}
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\futures.py:299(_get_loop)
        1    0.000    0.000    0.000    0.000 {built-in method _overlapped.GetQueuedCompletionStatus}
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:700(time)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:228(_acquireLock)
        1    0.000    0.000    0.000    0.000 {built-in method _signal.signal}
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\_weakrefset.py:85(add)
        2    0.000    0.000    0.000    0.000 {built-in method _contextvars.copy_context}
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1720(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 {built-in method sys.get_asyncgen_hooks}
        5    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:517(_check_closed)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:237(_releaseLock)
        1    0.000    0.000    0.000    0.000 C:\Users\Bryan\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py:1925(_set_coroutine_origin_tracking)
        2    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
